SCH_NAME,ADDRESSES,NCESSCH
Carl Junction Intermediate,"206 S Roney, Carl Junction, MO 64834",290735000196
Carl Junction Primary 2-3,"206 S Roney, Carl Junction, MO 64834",290735000197
Carl Junction High School,"206 S Roney, Carl Junction, MO 64834",290735000198
Carl Junction Jr. High,"206 S Roney, Carl Junction, MO 64834",290735000199
Carl Junction Satellite School,"206 S Roney, Carl Junction, MO 64834",290735002582
Carl Junction Primary K-1,"206 S Roney, Carl Junction, MO 64834",290735002811
CARROLLTON SENIOR HIGH,"300 E NINTH ST, CARROLLTON, MO 64633",290738000202
MIDDLE SCHOOL,"300 E NINTH STREET, CARROLLTON, MO 64633",290738000311
CARROLLTON AREA CAREER CENTER,"305 E TENTH ST, CARROLLTON, MO 64633",290738002368
CARROLLTON ELEMENTARY SCHOOL,"207 E NINTH ST, CARROLLTON, MO 64633",290738003129
ADAMS PRIMARY SCHOOL,"306 N JEFFERSON, CARROLLTON, MO 64633",290738003131
COLUMBIAN ELEM.,"1015 W MACON, CARTHAGE, MO 64836",290746000204
FAIRVIEW ELEM.,"1201 E FAIRVIEW, CARTHAGE, MO 64836",290746000206
CARTHAGE JR. HIGH,"714 S. MAIN, CARTHAGE, MO 64836",290746000208
MARK TWAIN ELEM.,"1435 S MAIN, CARTHAGE, MO 64836",290746000209
PLEASANT VALLEY ELEM.,"652 COUNTY RD 180, CARTHAGE, MO 64836",290746000210
CARTHAGE HIGH SCHOOL,"2600 SOUTH RIVER, CARTHAGE, MO 64836",290746000211
STEADLEY ELEM.,"1814 W FIR RD, CARTHAGE, MO 64836",290746001980
CARTHAGE TECHNICAL CTR.,"1100 E. AIRPORT DRIVE, CARTHAGE, MO 64836",290746002275
CARTHAGE INTERMEDIATE CENTER,"2851 S. Chapel, CARTHAGE, MO 64836",290746003110
EARLY CHILDHOOD AND PAT CENTER,"625 E. FAIRVIEW, CARTHAGE, MO 64836",290746003243
CARUTHERSVILLE HIGH,"1708 WARD AVE, CARUTHERSVILLE, MO 63830",290747000214
CARUTHERSVILLE ELEMENTARY,"900 WASHINGTON AVE, CARUTHERSVILLE, MO 63830",290747000216
CARUTHERSVILLE MIDDLE,"1705 WARD AVE, CARUTHERSVILLE, MO 63830",290747001023
EUNICE THOMAS ELEM.,"1501 MAIN ST, CASSVILLE, MO 65625",290817000217
CASSVILLE HIGH,"1501 MAIN ST, CASSVILLE, MO 65625",290817000219
CASSVILLE MIDDLE,"1501 MAIN ST, CASSVILLE, MO 65625",290817002425
CASSVILLE INTERMEDIATE,"1501 MAIN ST, CASSVILLE, MO 65625",290817002718
BOONE ELEM.,"8817 WORNALL RD, KANSAS CITY, MO 64114",290825000223
CENTER ELEM.,"8401 EUCLID, KANSAS CITY, MO 64132",290825000224
CENTER SR. HIGH,"8715 HOLMES, KANSAS CITY, MO 64131",290825000225
INDIAN CREEK ELEM.,"9801 GRAND, KANSAS CITY, MO 64114",290825000226
RED BRIDGE ELEM.,"10781 OAK, KANSAS CITY, MO 64114",290825000228
CENTER MIDDLE,"326 E 103RD ST, KANSAS CITY, MO 64114",290825000230
EARLY CHILDHOOD EDUC. CTR.,"8817 WORNALL RD, KANSAS CITY, MO 64114",290825002755
CENTER ALTERNATIVE,"8434 PASEO, KANSAS CITY, MO 64131",290825002810
CREST RIDGE ELEM.,"94 NW 58 HWY, CENTERVIEW, MO 64019",290832000231
CREST RIDGE HIGH,"92 NW 58 HWY, CENTERVIEW, MO 64019",290832002276
CENTERVILLE ELEM.,"2354 S GREEN ST, CENTERVILLE, MO 63633",290834000232
FOREST PARK ELEM.,"501 SUNFLOWER, O'FALLON, MO 63366",290837000234
JOSEPH L. MUDD ELEM.,"610 PRINCE RUPPERT, O'FALLON, MO 63366",290837000235
