SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING
Joan MacQueen Middle,"2001 Tavern Rd., Alpine, CA 91901",60210000092,,1
Mountain View Learning Academy,"8770 Harbison Canyon Rd., Alpine, CA 91901",60210007300,,1
Shadow Hills Elementary,"8770 Harbison Canyon Rd., Alpine, CA 91901",60210009112,,1
Boulder Oaks Elementary,"2320 Tavern Rd., Alpine, CA 91901",60210009696,,1
Creekside Early Learning Center,"8818 Harbison Canyon Rd., Alpine, CA 91901",60210010375,,1
Alta Loma Elementary,"7085 Amethyst St., Alta Loma, CA 91701",60216000093,,1
Alta Loma Junior High,"9000 Lemon Ave., Alta Loma, CA 91701",60216000094,,1
Carnelian Elementary,"7105 Carnelian St., Alta Loma, CA 91701",60216000095,,1
Jasper Elementary,"6881 Jasper St., Alta Loma, CA 91701",60216000096,,1
Floyd M. Stork Elementary,"5646 Jasper St., Alta Loma, CA 91701",60216000097,,1
Banyan Elementary,"10900 Mirador Dr., Alta Loma, CA 91737",60216007259,,1
Deer Canyon Elementary,"10225 Hamilton St., Alta Loma, CA 91701",60216007640,,1
Hermosa Elementary,"10133 Wilson Ave., Alta Loma, CA 91737",60216008114,,1
Victoria Groves Elementary,"10950 Emerson, Alta Loma, CA 91701",60216009298,,1
Vineyard Junior High,"6440 Mayberry, Alta Loma, CA 91737",60216009697,,1
Alta Vista Elementary,"2293 E. Crabtree Ave., Porterville, CA 93257",60222000098,,1
Alta-Dutch Flat Elementary,"34050 Alta-Bonny Nook Rd., Alta, CA 95701",60225000099,,1
Clyde Arbuckle Elementary,"1970 Cinderella Ln., San Jose, CA 95116",60231000100,,1
Sylvia Cassell Elementary,"1300 Tallahassee Dr., San Jose, CA 95122",60231000101,,1
Horace Cureton Elementary,"3720 E. Hills Dr., San Jose, CA 95127",60231000102,,1
A. J. Dorsa Elementary,"1290 Bal Harbor Dr., San Jose, CA 95122",60231000103,,1
Clyde L. Fischer Middle,"1720 Hopkins Dr., San Jose, CA 95122",60231000104,,1
Joseph George Middle,"277 Mahoney Dr., San Jose, CA 95127",60231000105,,1
Aptitud Community Academy at Goss,"2475 Van Winkle Ln., San Jose, CA 95116",60231000106,,1
O. S. Hubbard Elementary,"1745 June Ave., San Jose, CA 95122",60231000107,,1
Linda Vista Elementary,"100 Kirk Ave., San Jose, CA 95127",60231000108,,1
Lyndale Elementary,"13901 Nordyke Dr., San Jose, CA 95127",60231000109,,1
Lee Mathson Middle,"2050 Kammerer Ave., San Jose, CA 95116",60231000110,,1
Cesar Chavez Elementary,"2000 Kammerer Ave., San Jose, CA 95116",60231000111,,1
