SCH_NAME,ADDRESSES,NCESSCH
Albertville Middle School,"600 E Alabama Ave, Albertville, AL 35950",10000500870
Albertville HS,"402 E McCord Ave, Albertville, AL 35950",10000500871
Evans Elem. School,"901 W McKinney Ave, Albertville, AL 35950",10000500879
ALBERTVILLE ELEM. SCHOOL,"1100 Horton Rd, Albertville, AL 35950",10000500889
Big Spring Lake Kindergarten School,"257 Country Club Rd, Albertville, AL 35951",10000501616
