SCH_NAME,ADDRESSES,NCESSCH,URL,QUERY_RANKING,VALIDITY_CONFIRMED,EXPLANATIONS
HILLYARD TECHNICAL CTR.,"3434 FARAON, ST JOSEPH, MO 64506",292706000000.0,http://hillyardtech.sjsd.k12.mo.us/,1,False,School String not found in website
HOSEA ELEM.,"6401 GORDON ST, ST JOSEPH, MO 64504",292706000000.0,https://hosea.sjsd.k12.mo.us/,1,False,School String not found in website
HUMBOLDT ELEM.,"1520 N SECOND ST, ST JOSEPH, MO 64505",292706000000.0,http://gadwoodgroup.com/Schools/e884a21e4e7f561458419dfc8d8e9d41/,5,False,School String not found in website
HYDE ELEM.,"509 THOMPSON, ST JOSEPH, MO 64504",292706000000.0,https://hyde.sjsd.k12.mo.us/,1,False,School String not found in website
LAFAYETTE HIGH,"412 HIGHLAND AVE, ST JOSEPH, MO 64505",292706000000.0,https://lafayette.sjsd.k12.mo.us/about_us/directions/home,1,True,Validity is confirmed according to current tests.
LAKE ELEM.,"1800 ALABAMA, ST JOSEPH, MO 64504",292706000000.0,https://www.hisawyer.com/listings/schools/97585-lake-elem,3,True,Validity is confirmed according to current tests.
LINDBERGH ELEM.,"2812 ST JOSEPH AVE, ST JOSEPH, MO 64505",292706000000.0,https://lindbergh.sjsd.k12.mo.us/,1,False,School String not found in website
PARKWAY ELEM.,"2900 DUNCAN, ST JOSEPH, MO 64507",292706000000.0,https://parkway.sjsd.k12.mo.us/,1,False,School String not found in website
PERSHING ELEM.,"2610 BLACKWELL RD, ST JOSEPH, MO 64505",292706000000.0,https://pershing.sjsd.k12.mo.us/,1,False,School String not found in website
PICKETT ELEM.,"3923 PICKETT RD, ST JOSEPH, MO 64503",292706000000.0,https://pickett.sjsd.k12.mo.us/,1,False,School String not found in website
ROBIDOUX MIDDLE,"4212 ST JOSEPH AVE, ST JOSEPH, MO 64505",292706000000.0,https://robidoux.sjsd.k12.mo.us/,1,True,Validity is confirmed according to current tests.
SKAITH ELEM.,"4701 SCHOOLSIDE LN, ST JOSEPH, MO 64503",292706000000.0,https://skaith.sjsd.k12.mo.us/,1,False,School String not found in website
SPRING GARDEN MIDDLE,"5802 S 22ND, ST JOSEPH, MO 64503",292706000000.0,https://springgarden.sjsd.k12.mo.us/,1,True,Validity is confirmed according to current tests.
TRUMAN MIDDLE,"3227 OLIVE, ST JOSEPH, MO 64507",292706000000.0,https://truman.sjsd.k12.mo.us/,1,True,Validity is confirmed according to current tests.
ALT. RESOURCE CTR.,"3510 FREDERICK AVE, ST JOSEPH, MO 64506",292706000000.0,https://www.hisawyer.com/listings/schools/97577-colgan-alt-resource-ctr,1,True,Validity is confirmed according to current tests.
CARDEN PARK ELEM,"1510 Duncan, St. Joseph, MO 64501",292706000000.0,https://cardenpark.sjsd.k12.mo.us/,1,True,Validity is confirmed according to current tests.
OAK GROVE ELEM,"4901 Cook Rd, St. Joseph, MO 64505",292706000000.0,https://oakgrove.sjsd.k12.mo.us/,2,True,Validity is confirmed according to current tests.
SALEM UPPER ELEM.,"1601 S DOSS RD, SALEM, MO 65560",292709000000.0,https://www.salemr80.org/upper-elementary.html,1,False,School String not found in website
SALEM MIDDLE SCHOOL,"1400 TIGER PRIDE DR, SALEM, MO 65560",292709000000.0,https://www.salemr80.org/middle-school.html,1,True,Validity is confirmed according to current tests.
SALEM SR. HIGH,"1400 TIGER PRIDE DR, SALEM, MO 65560",292709000000.0,https://www.salemr80.org/senior-high.html,1,False,School String not found in website
