SCH_NAME,ADDRESSES,NCESSCH,URL,NUM_BAD_URLS,QUERY_RANKING,SEARCH
Albertville Middle School,"600 E Alabama Ave, Albertville, AL 35950",10000500870,http://ams.albertk12.org/,,0,"Albertville Middle School 600 E Alabama Ave, Albertville, AL 35950"
Albertville High School,"402 E McCord Ave, Albertville, AL 35950",10000500871,http://ahs.albertk12.org/,,0,"Albertville High School 402 E McCord Ave, Albertville, AL 35950"
Evans Elementary School,"901 W McKinney Ave, Albertville, AL 35950",10000500879,http://ees.albertk12.org/,,0,"Evans Elementary School 901 W McKinney Ave, Albertville, AL 35950"
Albertville Elementary School,"1100 Horton Rd, Albertville, AL 35950",10000500889,http://aps.albertk12.org/,,0,"Albertville Elementary School 1100 Horton Rd, Albertville, AL 35950"
Big Spring Lake Kindergarten School,"257 Country Club Rd, Albertville, AL 35951",10000501616,http://www.albertk12.org/,,0,"Big Spring Lake Kindergarten School 257 Country Club Rd, Albertville, AL 35951"
