NCESSCH	URL
40082903278	http://basispeoria.org/
40088103394	http://basisphoenixcentral.org/
480143813202	http://basissanantonionorth.org/
40060803115	http://basisscottsdaleprimary.org/
40087803350	http://basistucsonnorth.org/
120033008522	http://basouth.bridgeprepacademy.com/
120039007932	http://basouth.bridgeprepacademy.com/
260105508473	http://battlecreekmontessoriacademy.com/
120009008471	http://baycentralhs.org/
62580003589	http://bayside.mvusd.net/
120150008241	http://bb.franklin-academy.org/
550117002800	http://bbhcs.birchwood.k12.wi.us/
62271010852	http://bccs.ypics.org/
62271013897	http://bccs.ypics.org/
370011002541	http://bcmschool.com/
481179011507	http://bcollegiate.bryanisd.org/
390158605871	http://beaconacademyedu.org/
62667013824	http://beaconclassical.com/
120039008423	http://beaconpride.org/
550960002498	http://beammilwaukee.org/
170531006024	http://beardstowncharterschool.weebly.com/
490014601375	http://bearrivercharter.org/
120108008229	http://beasleytec.org/
62271002842	http://beckford-lausd-ca.schoolloop.com/
360096506044	http://bedstuycollegiate.uncommonschools.org/
50288001456	http://beebebadgers.org/
220111002359	http://beekman.morehouse.schooldesk.net/
480019513536	http://beethoven-elementary.vanguardacademy.education/
40034403467	http://bellavistacollegeprep.com/
340075903196	http://belovedccs.org/
390045705016	http://bennettventure.org/
40021202444	http://bensonspvhs.sharpschool.net/
250055802844	http://bentleyacademy.org/
260019101099	http://bentonharborcharter.com/
40063203105	http://berean-academy.com/
340071502923	http://bergencharter.org/
390155005772	http://berwyneastacademy.org/
411145000829	http://bethanycharter.silverfallsschools.org/
270042204956	http://bigpicturetwincities.org/
120048008264	http://biscaynehs.com/
480012511235	http://bissonnet.swschools.org/
480142412755	http://bjipreschool.org/
260027208652	http://bkbacademy.org/
260027201940	http://bkbacademy.org/
260027207483	http://bkbacademy.org/
260027208127	http://bkbacademy.org/
60720000657	http://blackford.campbellusd.org/
440001500473	http://blackstonevalleyprep.org/
440001500496	http://blackstonevalleyprep.org/
440001500480	http://blackstonevalleyprep.org/academics/elementary/
440001500488	http://blackstonevalleyprep.org/academics/high-school/
490015601415	http://blogs.hmcharterschool.org/
240009001682	http://blsyw.org/
60837008682	http://blueoakcharterschool.org/
490006601499	http://bluffdale.summitacademyschools.org/
60627010767	http://boes-buckeye-ca.schoolloop.com/
260105108518	http://boggsschool.org/
120159006968	http://bokacademy.org/
490019501507	http://bonnevilleacademy.org/
63384005224	http://bowlinggreenmccoy.scusd.edu/
360004204466	http://bphs.democracyprep.org
550117002937	http://bpm.birchwood.k12.wi.us/
260028401644	http://bradfordacademy.com/
370035603329	http://bradfordprepschool.org/
260104208555	http://branchlineschool.org/
220018402407	http://brcollegeprep.org/
110010400507	http://breakthroughmontessori.org/
62271012982	http://breed.exteraschools.org/
370006802412	http://brevard.teamcfa.school/
61437001643	http://bridges.fmsd.org/
340078203371	http://bridgetonpubliccharterschool.org/
260030608288	http://bridgewest.gee-edu.com/
40040203429	http://brightoncharterschool.com/
360110806384	http://brillacollegeprep.org/
