U+3064;U+3064 # HIRAGANA LETTER TU
U+3065;U+3065 # HIRAGANA LETTER DU
U+3066;U+3066 # HIRAGANA LETTER TE
U+3067;U+3067 # HIRAGANA LETTER DE
U+3068;U+3068 # HIRAGANA LETTER TO
U+3069;U+3069 # HIRAGANA LETTER DO
U+306A;U+306A # HIRAGANA LETTER NA
U+306B;U+306B # HIRAGANA LETTER NI
U+306C;U+306C # HIRAGANA LETTER NU
U+306D;U+306D # HIRAGANA LETTER NE
U+306E;U+306E # HIRAGANA LETTER NO
U+306F;U+306F # HIRAGANA LETTER HA
U+3070;U+3070 # HIRAGANA LETTER BA
U+3071;U+3071 # HIRAGANA LETTER PA
U+3072;U+3072 # HIRAGANA LETTER HI
U+3073;U+3073 # HIRAGANA LETTER BI
U+3074;U+3074 # HIRAGANA LETTER PI
U+3075;U+3075 # HIRAGANA LETTER HU
U+3076;U+3076 # HIRAGANA LETTER BU
U+3077;U+3077 # HIRAGANA LETTER PU
U+3078;U+3078 # HIRAGANA LETTER HE
U+3079;U+3079 # HIRAGANA LETTER BE
U+307A;U+307A # HIRAGANA LETTER PE
U+307B;U+307B # HIRAGANA LETTER HO
U+307C;U+307C # HIRAGANA LETTER BO
U+307D;U+307D # HIRAGANA LETTER PO
U+307E;U+307E # HIRAGANA LETTER MA
U+307F;U+307F # HIRAGANA LETTER MI
U+3080;U+3080 # HIRAGANA LETTER MU
U+3081;U+3081 # HIRAGANA LETTER ME
U+3082;U+3082 # HIRAGANA LETTER MO
U+3083;U+3083 # HIRAGANA LETTER SMALL YA
U+3084;U+3084 # HIRAGANA LETTER YA
U+3085;U+3085 # HIRAGANA LETTER SMALL YU
U+3086;U+3086 # HIRAGANA LETTER YU
U+3087;U+3087 # HIRAGANA LETTER SMALL YO
U+3088;U+3088 # HIRAGANA LETTER YO
U+3089;U+3089 # HIRAGANA LETTER RA
U+308A;U+308A # HIRAGANA LETTER RI
U+308B;U+308B # HIRAGANA LETTER RU
U+308C;U+308C # HIRAGANA LETTER RE
U+308D;U+308D # HIRAGANA LETTER RO
U+308E;U+308E # HIRAGANA LETTER SMALL WA
U+308F;U+308F # HIRAGANA LETTER WA
U+3090;U+3090 # HIRAGANA LETTER WI
U+3091;U+3091 # HIRAGANA LETTER WE
U+3092;U+3092 # HIRAGANA LETTER WO
U+3093;U+3093 # HIRAGANA LETTER N
U+309D;U+309D # HIRAGANA ITERATION MARK
U+309E;U+309E # HIRAGANA VOICED ITERATION MARK
U+30A1;U+30A1 # KATAKANA LETTER SMALL A
U+30A2;U+30A2 # KATAKANA LETTER A
U+30A3;U+30A3 # KATAKANA LETTER SMALL I
U+30A4;U+30A4 # KATAKANA LETTER I
U+30A5;U+30A5 # KATAKANA LETTER SMALL U
U+30A6;U+30A6 # KATAKANA LETTER U
U+30A7;U+30A7 # KATAKANA LETTER SMALL E
U+30A8;U+5DE5 # KATAKANA LETTER E
U+30A9;U+30A9 # KATAKANA LETTER SMALL O
U+30AA;U+624D # KATAKANA LETTER O
U+30AB;U+529B # KATAKANA LETTER KA
U+30AC;U+30AC # KATAKANA LETTER GA
U+30AD;U+30AD # KATAKANA LETTER KI
U+30AE;U+30AE # KATAKANA LETTER GI
U+30AF;U+30AF # KATAKANA LETTER KU
U+30B0;U+30B0 # KATAKANA LETTER GU
U+30B1;U+30B1 # KATAKANA LETTER KE
U+30B2;U+30B2 # KATAKANA LETTER GE
U+30B3;U+30B3 # KATAKANA LETTER KO
U+30B4;U+30B4 # KATAKANA LETTER GO
U+30B5;U+30B5 # KATAKANA LETTER SA
U+30B6;U+30B6 # KATAKANA LETTER ZA
U+30B7;U+30B7 # KATAKANA LETTER SI
U+30B8;U+30B8 # KATAKANA LETTER ZI
U+30B9;U+30B9 # KATAKANA LETTER SU
U+30BA;U+30BA # KATAKANA LETTER ZU
U+30BB;U+30BB # KATAKANA LETTER SE
U+30BC;U+30BC # KATAKANA LETTER ZE
U+30BD;U+30BD # KATAKANA LETTER SO
U+30BE;U+30BE # KATAKANA LETTER ZO
U+30BF;U+30BF # KATAKANA LETTER TA
U+30C0;U+30C0 # KATAKANA LETTER DA
U+30C1;U+30C1 # KATAKANA LETTER TI
U+30C2;U+30C2 # KATAKANA LETTER DI
U+30C3;U+30C3 # KATAKANA LETTER SMALL TU
U+30C4;U+30C4 # KATAKANA LETTER TU
U+30C5;U+30C5 # KATAKANA LETTER DU
U+30C6;U+30C6 # KATAKANA LETTER TE
U+30C7;U+30C7 # KATAKANA LETTER DE
U+30C8;U+535C # KATAKANA LETTER TO
U+30C9;U+30C9 # KATAKANA LETTER DO
U+30CA;U+30CA # KATAKANA LETTER NA
U+30CB;U+4E8C # KATAKANA LETTER NI
U+30CC;U+30CC # KATAKANA LETTER NU
U+30CD;U+30CD # KATAKANA LETTER NE
U+30CE;U+4E3F # KATAKANA LETTER NO
U+30CF;U+30CF # KATAKANA LETTER HA
U+30D0;U+30D0 # KATAKANA LETTER BA
U+30D1;U+30D1 # KATAKANA LETTER PA
U+30D2;U+30D2 # KATAKANA LETTER HI
U+30D3;U+30D3 # KATAKANA LETTER BI
U+30D4;U+30D4 # KATAKANA LETTER PI
U+30D5;U+30D5 # KATAKANA LETTER HU
U+30D6;U+30D6 # KATAKANA LETTER BU
U+30D7;U+30D7 # KATAKANA LETTER PU
U+30D8;U+30D8 # KATAKANA LETTER HE
U+30D9;U+30D9 # KATAKANA LETTER BE
U+30DA;U+30DA # KATAKANA LETTER PE
U+30DB;U+6728 # KATAKANA LETTER HO
U+30DC;U+30DC # KATAKANA LETTER BO
U+30DD;U+30DD # KATAKANA LETTER PO
U+30DE;U+30DE # KATAKANA LETTER MA
U+30DF;U+30DF # KATAKANA LETTER MI
