#
# IDN Table for Korean
# Copyright 2015 CentralNic Ltd
#
# Table ID: ko
# Table type: Language
# Version: 1.0
# Published: 2011-05-12
# Referral URL: https://www.centralnic.com
#
# Policy Statement:
#
# No remarks.
#

U+B606 # 똆 HANGUL SYLLABLE DDYEBS
U+B607 # 똇 HANGUL SYLLABLE DDYES
U+B608 # 똈 HANGUL SYLLABLE DDYESS
U+B609 # 똉 HANGUL SYLLABLE DDYENG
U+B60A # 똊 HANGUL SYLLABLE DDYEJ
U+B60B # 똋 HANGUL SYLLABLE DDYEC
U+B60C # 똌 HANGUL SYLLABLE DDYEK
U+B60D # 똍 HANGUL SYLLABLE DDYET
U+B60E # 똎 HANGUL SYLLABLE DDYEP
U+B60F # 똏 HANGUL SYLLABLE DDYEH
U+B610 # 또 HANGUL SYLLABLE DDO
U+B611 # 똑 HANGUL SYLLABLE DDOG
U+B612 # 똒 HANGUL SYLLABLE DDOGG
U+B613 # 똓 HANGUL SYLLABLE DDOGS
U+B614 # 똔 HANGUL SYLLABLE DDON
U+B615 # 똕 HANGUL SYLLABLE DDONJ
U+B616 # 똖 HANGUL SYLLABLE DDONH
U+B617 # 똗 HANGUL SYLLABLE DDOD
U+B618 # 똘 HANGUL SYLLABLE DDOL
U+B619 # 똙 HANGUL SYLLABLE DDOLG
U+B61A # 똚 HANGUL SYLLABLE DDOLM
U+B61B # 똛 HANGUL SYLLABLE DDOLB
U+B61C # 똜 HANGUL SYLLABLE DDOLS
U+B61D # 똝 HANGUL SYLLABLE DDOLT
U+B61E # 똞 HANGUL SYLLABLE DDOLP
U+B61F # 똟 HANGUL SYLLABLE DDOLH
U+B620 # 똠 HANGUL SYLLABLE DDOM
U+B621 # 똡 HANGUL SYLLABLE DDOB
U+B622 # 똢 HANGUL SYLLABLE DDOBS
U+B623 # 똣 HANGUL SYLLABLE DDOS
U+B624 # 똤 HANGUL SYLLABLE DDOSS
U+B625 # 똥 HANGUL SYLLABLE DDONG
U+B626 # 똦 HANGUL SYLLABLE DDOJ
U+B627 # 똧 HANGUL SYLLABLE DDOC
U+B628 # 똨 HANGUL SYLLABLE DDOK
U+B629 # 똩 HANGUL SYLLABLE DDOT
U+B62A # 똪 HANGUL SYLLABLE DDOP
U+B62B # 똫 HANGUL SYLLABLE DDOH
U+B62C # 똬 HANGUL SYLLABLE DDWA
U+B62D # 똭 HANGUL SYLLABLE DDWAG
U+B62E # 똮 HANGUL SYLLABLE DDWAGG
U+B62F # 똯 HANGUL SYLLABLE DDWAGS
U+B630 # 똰 HANGUL SYLLABLE DDWAN
U+B631 # 똱 HANGUL SYLLABLE DDWANJ
U+B632 # 똲 HANGUL SYLLABLE DDWANH
U+B633 # 똳 HANGUL SYLLABLE DDWAD
U+B634 # 똴 HANGUL SYLLABLE DDWAL
U+B635 # 똵 HANGUL SYLLABLE DDWALG
U+B636 # 똶 HANGUL SYLLABLE DDWALM
U+B637 # 똷 HANGUL SYLLABLE DDWALB
U+B638 # 똸 HANGUL SYLLABLE DDWALS
U+B639 # 똹 HANGUL SYLLABLE DDWALT
U+B63A # 똺 HANGUL SYLLABLE DDWALP
U+B63B # 똻 HANGUL SYLLABLE DDWALH
U+B63C # 똼 HANGUL SYLLABLE DDWAM
U+B63D # 똽 HANGUL SYLLABLE DDWAB
U+B63E # 똾 HANGUL SYLLABLE DDWABS
U+B63F # 똿 HANGUL SYLLABLE DDWAS
U+B640 # 뙀 HANGUL SYLLABLE DDWASS
U+B641 # 뙁 HANGUL SYLLABLE DDWANG
U+B642 # 뙂 HANGUL SYLLABLE DDWAJ
U+B643 # 뙃 HANGUL SYLLABLE DDWAC
U+B644 # 뙄 HANGUL SYLLABLE DDWAK
U+B645 # 뙅 HANGUL SYLLABLE DDWAT
U+B646 # 뙆 HANGUL SYLLABLE DDWAP
U+B647 # 뙇 HANGUL SYLLABLE DDWAH
U+B648 # 뙈 HANGUL SYLLABLE DDWAE
U+B649 # 뙉 HANGUL SYLLABLE DDWAEG
U+B64A # 뙊 HANGUL SYLLABLE DDWAEGG
U+B64B # 뙋 HANGUL SYLLABLE DDWAEGS
U+B64C # 뙌 HANGUL SYLLABLE DDWAEN
U+B64D # 뙍 HANGUL SYLLABLE DDWAENJ
U+B64E # 뙎 HANGUL SYLLABLE DDWAENH
U+B64F # 뙏 HANGUL SYLLABLE DDWAED
U+B650 # 뙐 HANGUL SYLLABLE DDWAEL
U+B651 # 뙑 HANGUL SYLLABLE DDWAELG
U+B652 # 뙒 HANGUL SYLLABLE DDWAELM
U+B653 # 뙓 HANGUL SYLLABLE DDWAELB
U+B654 # 뙔 HANGUL SYLLABLE DDWAELS
U+B655 # 뙕 HANGUL SYLLABLE DDWAELT
U+B656 # 뙖 HANGUL SYLLABLE DDWAELP
U+B657 # 뙗 HANGUL SYLLABLE DDWAELH
U+B658 # 뙘 HANGUL SYLLABLE DDWAEM
U+B659 # 뙙 HANGUL SYLLABLE DDWAEB
U+B65A # 뙚 HANGUL SYLLABLE DDWAEBS
U+B65B # 뙛 HANGUL SYLLABLE DDWAES
U+B65C # 뙜 HANGUL SYLLABLE DDWAESS
U+B65D # 뙝 HANGUL SYLLABLE DDWAENG
U+B65E # 뙞 HANGUL SYLLABLE DDWAEJ
U+B65F # 뙟 HANGUL SYLLABLE DDWAEC
U+B660 # 뙠 HANGUL SYLLABLE DDWAEK
U+B661 # 뙡 HANGUL SYLLABLE DDWAET
U+B662 # 뙢 HANGUL SYLLABLE DDWAEP
U+B663 # 뙣 HANGUL SYLLABLE DDWAEH
U+B664 # 뙤 HANGUL SYLLABLE DDOE
U+B665 # 뙥 HANGUL SYLLABLE DDOEG
U+B666 # 뙦 HANGUL SYLLABLE DDOEGG
U+B667 # 뙧 HANGUL SYLLABLE DDOEGS
U+B668 # 뙨 HANGUL SYLLABLE DDOEN
U+B669 # 뙩 HANGUL SYLLABLE DDOENJ
U+B66A # 뙪 HANGUL SYLLABLE DDOENH
U+B66B # 뙫 HANGUL SYLLABLE DDOED
U+B66C # 뙬 HANGUL SYLLABLE DDOEL
U+B66D # 뙭 HANGUL SYLLABLE DDOELG
U+B66E # 뙮 HANGUL SYLLABLE DDOELM
U+B66F # 뙯 HANGUL SYLLABLE DDOELB
U+B670 # 뙰 HANGUL SYLLABLE DDOELS
U+B671 # 뙱 HANGUL SYLLABLE DDOELT
U+B672 # 뙲 HANGUL SYLLABLE DDOELP
U+B673 # 뙳 HANGUL SYLLABLE DDOELH
U+B674 # 뙴 HANGUL SYLLABLE DDOEM
U+B675 # 뙵 HANGUL SYLLABLE DDOEB
U+B676 # 뙶 HANGUL SYLLABLE DDOEBS
U+B677 # 뙷 HANGUL SYLLABLE DDOES
U+B678 # 뙸 HANGUL SYLLABLE DDOESS
U+B679 # 뙹 HANGUL SYLLABLE DDOENG
U+B67A # 뙺 HANGUL SYLLABLE DDOEJ
U+B67B # 뙻 HANGUL SYLLABLE DDOEC
U+B67C # 뙼 HANGUL SYLLABLE DDOEK
U+B67D # 뙽 HANGUL SYLLABLE DDOET
U+B67E # 뙾 HANGUL SYLLABLE DDOEP
U+B67F # 뙿 HANGUL SYLLABLE DDOEH
U+B680 # 뚀 HANGUL SYLLABLE DDYO
U+B681 # 뚁 HANGUL SYLLABLE DDYOG
U+B682 # 뚂 HANGUL SYLLABLE DDYOGG
U+B683 # 뚃 HANGUL SYLLABLE DDYOGS
U+B684 # 뚄 HANGUL SYLLABLE DDYON
U+B685 # 뚅 HANGUL SYLLABLE DDYONJ
U+B686 # 뚆 HANGUL SYLLABLE DDYONH
U+B687 # 뚇 HANGUL SYLLABLE DDYOD
U+B688 # 뚈 HANGUL SYLLABLE DDYOL
U+B689 # 뚉 HANGUL SYLLABLE DDYOLG
U+B68A # 뚊 HANGUL SYLLABLE DDYOLM
U+B68B # 뚋 HANGUL SYLLABLE DDYOLB
U+B68C # 뚌 HANGUL SYLLABLE DDYOLS
U+B68D # 뚍 HANGUL SYLLABLE DDYOLT
U+B68E # 뚎 HANGUL SYLLABLE DDYOLP
U+B68F # 뚏 HANGUL SYLLABLE DDYOLH
U+B690 # 뚐 HANGUL SYLLABLE DDYOM
U+B691 # 뚑 HANGUL SYLLABLE DDYOB
U+B692 # 뚒 HANGUL SYLLABLE DDYOBS
U+B693 # 뚓 HANGUL SYLLABLE DDYOS
U+B694 # 뚔 HANGUL SYLLABLE DDYOSS
U+B695 # 뚕 HANGUL SYLLABLE DDYONG
U+B696 # 뚖 HANGUL SYLLABLE DDYOJ
U+B697 # 뚗 HANGUL SYLLABLE DDYOC
U+B698 # 뚘 HANGUL SYLLABLE DDYOK
U+B699 # 뚙 HANGUL SYLLABLE DDYOT
U+B69A # 뚚 HANGUL SYLLABLE DDYOP
U+B69B # 뚛 HANGUL SYLLABLE DDYOH
U+B69C # 뚜 HANGUL SYLLABLE DDU
U+B69D # 뚝 HANGUL SYLLABLE DDUG
U+B69E # 뚞 HANGUL SYLLABLE DDUGG
U+B69F # 뚟 HANGUL SYLLABLE DDUGS
U+B6A0 # 뚠 HANGUL SYLLABLE DDUN
U+B6A1 # 뚡 HANGUL SYLLABLE DDUNJ
U+B6A2 # 뚢 HANGUL SYLLABLE DDUNH
U+B6A3 # 뚣 HANGUL SYLLABLE DDUD
U+B6A4 # 뚤 HANGUL SYLLABLE DDUL
U+B6A5 # 뚥 HANGUL SYLLABLE DDULG
U+B6A6 # 뚦 HANGUL SYLLABLE DDULM
U+B6A7 # 뚧 HANGUL SYLLABLE DDULB
U+B6A8 # 뚨 HANGUL SYLLABLE DDULS
U+B6A9 # 뚩 HANGUL SYLLABLE DDULT
U+B6AA # 뚪 HANGUL SYLLABLE DDULP
U+B6AB # 뚫 HANGUL SYLLABLE DDULH
U+B6AC # 뚬 HANGUL SYLLABLE DDUM
U+B6AD # 뚭 HANGUL SYLLABLE DDUB
U+B6AE # 뚮 HANGUL SYLLABLE DDUBS
U+B6AF # 뚯 HANGUL SYLLABLE DDUS
U+B6B0 # 뚰 HANGUL SYLLABLE DDUSS
U+B6B1 # 뚱 HANGUL SYLLABLE DDUNG
U+B6B2 # 뚲 HANGUL SYLLABLE DDUJ
U+B6B3 # 뚳 HANGUL SYLLABLE DDUC
U+B6B4 # 뚴 HANGUL SYLLABLE DDUK
U+B6B5 # 뚵 HANGUL SYLLABLE DDUT
U+B6B6 # 뚶 HANGUL SYLLABLE DDUP
U+B6B7 # 뚷 HANGUL SYLLABLE DDUH
U+B6B8 # 뚸 HANGUL SYLLABLE DDWEO
U+B6B9 # 뚹 HANGUL SYLLABLE DDWEOG
U+B6BA # 뚺 HANGUL SYLLABLE DDWEOGG
U+B6BB # 뚻 HANGUL SYLLABLE DDWEOGS
U+B6BC # 뚼 HANGUL SYLLABLE DDWEON
U+B6BD # 뚽 HANGUL SYLLABLE DDWEONJ
U+B6BE # 뚾 HANGUL SYLLABLE DDWEONH
U+B6BF # 뚿 HANGUL SYLLABLE DDWEOD
U+B6C0 # 뛀 HANGUL SYLLABLE DDWEOL
U+B6C1 # 뛁 HANGUL SYLLABLE DDWEOLG
U+B6C2 # 뛂 HANGUL SYLLABLE DDWEOLM
U+B6C3 # 뛃 HANGUL SYLLABLE DDWEOLB
U+B6C4 # 뛄 HANGUL SYLLABLE DDWEOLS
U+B6C5 # 뛅 HANGUL SYLLABLE DDWEOLT
U+B6C6 # 뛆 HANGUL SYLLABLE DDWEOLP
U+B6C7 # 뛇 HANGUL SYLLABLE DDWEOLH
U+B6C8 # 뛈 HANGUL SYLLABLE DDWEOM
U+B6C9 # 뛉 HANGUL SYLLABLE DDWEOB
U+B6CA # 뛊 HANGUL SYLLABLE DDWEOBS
U+B6CB # 뛋 HANGUL SYLLABLE DDWEOS
U+B6CC # 뛌 HANGUL SYLLABLE DDWEOSS
U+B6CD # 뛍 HANGUL SYLLABLE DDWEONG
U+B6CE # 뛎 HANGUL SYLLABLE DDWEOJ
U+B6CF # 뛏 HANGUL SYLLABLE DDWEOC
U+B6D0 # 뛐 HANGUL SYLLABLE DDWEOK
U+B6D1 # 뛑 HANGUL SYLLABLE DDWEOT
U+B6D2 # 뛒 HANGUL SYLLABLE DDWEOP
U+B6D3 # 뛓 HANGUL SYLLABLE DDWEOH
U+B6D4 # 뛔 HANGUL SYLLABLE DDWE
U+B6D5 # 뛕 HANGUL SYLLABLE DDWEG
U+B6D6 # 뛖 HANGUL SYLLABLE DDWEGG
U+B6D7 # 뛗 HANGUL SYLLABLE DDWEGS
U+B6D8 # 뛘 HANGUL SYLLABLE DDWEN
U+B6D9 # 뛙 HANGUL SYLLABLE DDWENJ
U+B6DA # 뛚 HANGUL SYLLABLE DDWENH
U+B6DB # 뛛 HANGUL SYLLABLE DDWED
U+B6DC # 뛜 HANGUL SYLLABLE DDWEL
U+B6DD # 뛝 HANGUL SYLLABLE DDWELG
U+B6DE # 뛞 HANGUL SYLLABLE DDWELM
U+B6DF # 뛟 HANGUL SYLLABLE DDWELB
U+B6E0 # 뛠 HANGUL SYLLABLE DDWELS
U+B6E1 # 뛡 HANGUL SYLLABLE DDWELT
U+B6E2 # 뛢 HANGUL SYLLABLE DDWELP
U+B6E3 # 뛣 HANGUL SYLLABLE DDWELH
U+B6E4 # 뛤 HANGUL SYLLABLE DDWEM
U+B6E5 # 뛥 HANGUL SYLLABLE DDWEB
U+B6E6 # 뛦 HANGUL SYLLABLE DDWEBS
U+B6E7 # 뛧 HANGUL SYLLABLE DDWES
U+B6E8 # 뛨 HANGUL SYLLABLE DDWESS
U+B6E9 # 뛩 HANGUL SYLLABLE DDWENG
U+B6EA # 뛪 HANGUL SYLLABLE DDWEJ
U+B6EB # 뛫 HANGUL SYLLABLE DDWEC
U+B6EC # 뛬 HANGUL SYLLABLE DDWEK
U+B6ED # 뛭 HANGUL SYLLABLE DDWET
U+B6EE # 뛮 HANGUL SYLLABLE DDWEP
U+B6EF # 뛯 HANGUL SYLLABLE DDWEH
U+B6F0 # 뛰 HANGUL SYLLABLE DDWI
U+B6F1 # 뛱 HANGUL SYLLABLE DDWIG
U+B6F2 # 뛲 HANGUL SYLLABLE DDWIGG
U+B6F3 # 뛳 HANGUL SYLLABLE DDWIGS
U+B6F4 # 뛴 HANGUL SYLLABLE DDWIN
U+B6F5 # 뛵 HANGUL SYLLABLE DDWINJ
U+B6F6 # 뛶 HANGUL SYLLABLE DDWINH
U+B6F7 # 뛷 HANGUL SYLLABLE DDWID
U+B6F8 # 뛸 HANGUL SYLLABLE DDWIL
U+B6F9 # 뛹 HANGUL SYLLABLE DDWILG
U+B6FA # 뛺 HANGUL SYLLABLE DDWILM
U+B6FB # 뛻 HANGUL SYLLABLE DDWILB
U+B6FC # 뛼 HANGUL SYLLABLE DDWILS
U+B6FD # 뛽 HANGUL SYLLABLE DDWILT
U+B6FE # 뛾 HANGUL SYLLABLE DDWILP
U+B6FF # 뛿 HANGUL SYLLABLE DDWILH
U+B700 # 뜀 HANGUL SYLLABLE DDWIM
U+B701 # 뜁 HANGUL SYLLABLE DDWIB
U+B702 # 뜂 HANGUL SYLLABLE DDWIBS
U+B703 # 뜃 HANGUL SYLLABLE DDWIS
U+B704 # 뜄 HANGUL SYLLABLE DDWISS
U+B705 # 뜅 HANGUL SYLLABLE DDWING
U+B706 # 뜆 HANGUL SYLLABLE DDWIJ
U+B707 # 뜇 HANGUL SYLLABLE DDWIC
U+B708 # 뜈 HANGUL SYLLABLE DDWIK
U+B709 # 뜉 HANGUL SYLLABLE DDWIT
U+B70A # 뜊 HANGUL SYLLABLE DDWIP
U+B70B # 뜋 HANGUL SYLLABLE DDWIH
U+B70C # 뜌 HANGUL SYLLABLE DDYU
U+B70D # 뜍 HANGUL SYLLABLE DDYUG
U+B70E # 뜎 HANGUL SYLLABLE DDYUGG
U+B70F # 뜏 HANGUL SYLLABLE DDYUGS
U+B710 # 뜐 HANGUL SYLLABLE DDYUN
U+B711 # 뜑 HANGUL SYLLABLE DDYUNJ
U+B712 # 뜒 HANGUL SYLLABLE DDYUNH
U+B713 # 뜓 HANGUL SYLLABLE DDYUD
U+B714 # 뜔 HANGUL SYLLABLE DDYUL
U+B715 # 뜕 HANGUL SYLLABLE DDYULG
U+B716 # 뜖 HANGUL SYLLABLE DDYULM
U+B717 # 뜗 HANGUL SYLLABLE DDYULB
U+B718 # 뜘 HANGUL SYLLABLE DDYULS
U+B719 # 뜙 HANGUL SYLLABLE DDYULT
U+B71A # 뜚 HANGUL SYLLABLE DDYULP
U+B71B # 뜛 HANGUL SYLLABLE DDYULH
U+B71C # 뜜 HANGUL SYLLABLE DDYUM
U+B71D # 뜝 HANGUL SYLLABLE DDYUB
U+B71E # 뜞 HANGUL SYLLABLE DDYUBS
U+B71F # 뜟 HANGUL SYLLABLE DDYUS
U+B720 # 뜠 HANGUL SYLLABLE DDYUSS
U+B721 # 뜡 HANGUL SYLLABLE DDYUNG
U+B722 # 뜢 HANGUL SYLLABLE DDYUJ
U+B723 # 뜣 HANGUL SYLLABLE DDYUC
U+B724 # 뜤 HANGUL SYLLABLE DDYUK
U+B725 # 뜥 HANGUL SYLLABLE DDYUT
U+B726 # 뜦 HANGUL SYLLABLE DDYUP
U+B727 # 뜧 HANGUL SYLLABLE DDYUH
U+B728 # 뜨 HANGUL SYLLABLE DDEU
U+B729 # 뜩 HANGUL SYLLABLE DDEUG
U+B72A # 뜪 HANGUL SYLLABLE DDEUGG
U+B72B # 뜫 HANGUL SYLLABLE DDEUGS
U+B72C # 뜬 HANGUL SYLLABLE DDEUN
U+B72D # 뜭 HANGUL SYLLABLE DDEUNJ
U+B72E # 뜮 HANGUL SYLLABLE DDEUNH
U+B72F # 뜯 HANGUL SYLLABLE DDEUD
U+B730 # 뜰 HANGUL SYLLABLE DDEUL
U+B731 # 뜱 HANGUL SYLLABLE DDEULG
U+B732 # 뜲 HANGUL SYLLABLE DDEULM
U+B733 # 뜳 HANGUL SYLLABLE DDEULB
U+B734 # 뜴 HANGUL SYLLABLE DDEULS
U+B735 # 뜵 HANGUL SYLLABLE DDEULT
U+B736 # 뜶 HANGUL SYLLABLE DDEULP
U+B737 # 뜷 HANGUL SYLLABLE DDEULH
U+B738 # 뜸 HANGUL SYLLABLE DDEUM
U+B739 # 뜹 HANGUL SYLLABLE DDEUB
U+B73A # 뜺 HANGUL SYLLABLE DDEUBS
U+B73B # 뜻 HANGUL SYLLABLE DDEUS
U+B73C # 뜼 HANGUL SYLLABLE DDEUSS
U+B73D # 뜽 HANGUL SYLLABLE DDEUNG
U+B73E # 뜾 HANGUL SYLLABLE DDEUJ
U+B73F # 뜿 HANGUL SYLLABLE DDEUC
U+B740 # 띀 HANGUL SYLLABLE DDEUK
U+B741 # 띁 HANGUL SYLLABLE DDEUT
U+B742 # 띂 HANGUL SYLLABLE DDEUP
U+B743 # 띃 HANGUL SYLLABLE DDEUH
U+B744 # 띄 HANGUL SYLLABLE DDYI
U+B745 # 띅 HANGUL SYLLABLE DDYIG
U+B746 # 띆 HANGUL SYLLABLE DDYIGG
U+B747 # 띇 HANGUL SYLLABLE DDYIGS
U+B748 # 띈 HANGUL SYLLABLE DDYIN
U+B749 # 띉 HANGUL SYLLABLE DDYINJ
U+B74A # 띊 HANGUL SYLLABLE DDYINH
U+B74B # 띋 HANGUL SYLLABLE DDYID
U+B74C # 띌 HANGUL SYLLABLE DDYIL
U+B74D # 띍 HANGUL SYLLABLE DDYILG
U+B74E # 띎 HANGUL SYLLABLE DDYILM
U+B74F # 띏 HANGUL SYLLABLE DDYILB
U+B750 # 띐 HANGUL SYLLABLE DDYILS
U+B751 # 띑 HANGUL SYLLABLE DDYILT
U+B752 # 띒 HANGUL SYLLABLE DDYILP
U+B753 # 띓 HANGUL SYLLABLE DDYILH
U+B754 # 띔 HANGUL SYLLABLE DDYIM
U+B755 # 띕 HANGUL SYLLABLE DDYIB
U+B756 # 띖 HANGUL SYLLABLE DDYIBS
U+B757 # 띗 HANGUL SYLLABLE DDYIS
U+B758 # 띘 HANGUL SYLLABLE DDYISS
U+B759 # 띙 HANGUL SYLLABLE DDYING
U+B75A # 띚 HANGUL SYLLABLE DDYIJ
U+B75B # 띛 HANGUL SYLLABLE DDYIC
U+B75C # 띜 HANGUL SYLLABLE DDYIK
U+B75D # 띝 HANGUL SYLLABLE DDYIT
U+B75E # 띞 HANGUL SYLLABLE DDYIP
U+B75F # 띟 HANGUL SYLLABLE DDYIH
U+B760 # 띠 HANGUL SYLLABLE DDI
U+B761 # 띡 HANGUL SYLLABLE DDIG
U+B762 # 띢 HANGUL SYLLABLE DDIGG
U+B763 # 띣 HANGUL SYLLABLE DDIGS
U+B764 # 띤 HANGUL SYLLABLE DDIN
U+B765 # 띥 HANGUL SYLLABLE DDINJ
U+B766 # 띦 HANGUL SYLLABLE DDINH
U+B767 # 띧 HANGUL SYLLABLE DDID
U+B768 # 띨 HANGUL SYLLABLE DDIL
U+B769 # 띩 HANGUL SYLLABLE DDILG
U+B76A # 띪 HANGUL SYLLABLE DDILM
U+B76B # 띫 HANGUL SYLLABLE DDILB
U+B76C # 띬 HANGUL SYLLABLE DDILS
U+B76D # 띭 HANGUL SYLLABLE DDILT
U+B76E # 띮 HANGUL SYLLABLE DDILP
U+B76F # 띯 HANGUL SYLLABLE DDILH
U+B770 # 띰 HANGUL SYLLABLE DDIM
U+B771 # 띱 HANGUL SYLLABLE DDIB
U+B772 # 띲 HANGUL SYLLABLE DDIBS
U+B773 # 띳 HANGUL SYLLABLE DDIS
U+B774 # 띴 HANGUL SYLLABLE DDISS
U+B775 # 띵 HANGUL SYLLABLE DDING
U+B776 # 띶 HANGUL SYLLABLE DDIJ
U+B777 # 띷 HANGUL SYLLABLE DDIC
U+B778 # 띸 HANGUL SYLLABLE DDIK
U+B779 # 띹 HANGUL SYLLABLE DDIT
U+B77A # 띺 HANGUL SYLLABLE DDIP
U+B77B # 띻 HANGUL SYLLABLE DDIH
U+B77C # 라 HANGUL SYLLABLE RA
U+B77D # 락 HANGUL SYLLABLE RAG
U+B77E # 띾 HANGUL SYLLABLE RAGG
U+B77F # 띿 HANGUL SYLLABLE RAGS
U+B780 # 란 HANGUL SYLLABLE RAN
U+B781 # 랁 HANGUL SYLLABLE RANJ
U+B782 # 랂 HANGUL SYLLABLE RANH
U+B783 # 랃 HANGUL SYLLABLE RAD
U+B784 # 랄 HANGUL SYLLABLE RAL
U+B785 # 랅 HANGUL SYLLABLE RALG
U+B786 # 랆 HANGUL SYLLABLE RALM
U+B787 # 랇 HANGUL SYLLABLE RALB
U+B788 # 랈 HANGUL SYLLABLE RALS
U+B789 # 랉 HANGUL SYLLABLE RALT
U+B78A # 랊 HANGUL SYLLABLE RALP
U+B78B # 랋 HANGUL SYLLABLE RALH
U+B78C # 람 HANGUL SYLLABLE RAM
U+B78D # 랍 HANGUL SYLLABLE RAB
U+B78E # 랎 HANGUL SYLLABLE RABS
U+B78F # 랏 HANGUL SYLLABLE RAS
U+B790 # 랐 HANGUL SYLLABLE RASS
U+B791 # 랑 HANGUL SYLLABLE RANG
U+B792 # 랒 HANGUL SYLLABLE RAJ
U+B793 # 랓 HANGUL SYLLABLE RAC
U+B794 # 랔 HANGUL SYLLABLE RAK
U+B795 # 랕 HANGUL SYLLABLE RAT
U+B796 # 랖 HANGUL SYLLABLE RAP
U+B797 # 랗 HANGUL SYLLABLE RAH
U+B798 # 래 HANGUL SYLLABLE RAE
U+B799 # 랙 HANGUL SYLLABLE RAEG
U+B79A # 랚 HANGUL SYLLABLE RAEGG
U+B79B # 랛 HANGUL SYLLABLE RAEGS
U+B79C # 랜 HANGUL SYLLABLE RAEN
U+B79D # 랝 HANGUL SYLLABLE RAENJ
U+B79E # 랞 HANGUL SYLLABLE RAENH
U+B79F # 랟 HANGUL SYLLABLE RAED
U+B7A0 # 랠 HANGUL SYLLABLE RAEL
U+B7A1 # 랡 HANGUL SYLLABLE RAELG
U+B7A2 # 랢 HANGUL SYLLABLE RAELM
U+B7A3 # 랣 HANGUL SYLLABLE RAELB
U+B7A4 # 랤 HANGUL SYLLABLE RAELS
U+B7A5 # 랥 HANGUL SYLLABLE RAELT
U+B7A6 # 랦 HANGUL SYLLABLE RAELP
U+B7A7 # 랧 HANGUL SYLLABLE RAELH
U+B7A8 # 램 HANGUL SYLLABLE RAEM
U+B7A9 # 랩 HANGUL SYLLABLE RAEB
U+B7AA # 랪 HANGUL SYLLABLE RAEBS
U+B7AB # 랫 HANGUL SYLLABLE RAES
U+B7AC # 랬 HANGUL SYLLABLE RAESS
U+B7AD # 랭 HANGUL SYLLABLE RAENG
U+B7AE # 랮 HANGUL SYLLABLE RAEJ
U+B7AF # 랯 HANGUL SYLLABLE RAEC
U+B7B0 # 랰 HANGUL SYLLABLE RAEK
U+B7B1 # 랱 HANGUL SYLLABLE RAET
U+B7B2 # 랲 HANGUL SYLLABLE RAEP
U+B7B3 # 랳 HANGUL SYLLABLE RAEH
U+B7B4 # 랴 HANGUL SYLLABLE RYA
U+B7B5 # 략 HANGUL SYLLABLE RYAG
U+B7B6 # 랶 HANGUL SYLLABLE RYAGG
U+B7B7 # 랷 HANGUL SYLLABLE RYAGS
U+B7B8 # 랸 HANGUL SYLLABLE RYAN
U+B7B9 # 랹 HANGUL SYLLABLE RYANJ
U+B7BA # 랺 HANGUL SYLLABLE RYANH
U+B7BB # 랻 HANGUL SYLLABLE RYAD
U+B7BC # 랼 HANGUL SYLLABLE RYAL
U+B7BD # 랽 HANGUL SYLLABLE RYALG
U+B7BE # 랾 HANGUL SYLLABLE RYALM
U+B7BF # 랿 HANGUL SYLLABLE RYALB
U+B7C0 # 럀 HANGUL SYLLABLE RYALS
U+B7C1 # 럁 HANGUL SYLLABLE RYALT
U+B7C2 # 럂 HANGUL SYLLABLE RYALP
U+B7C3 # 럃 HANGUL SYLLABLE RYALH
U+B7C4 # 럄 HANGUL SYLLABLE RYAM
U+B7C5 # 럅 HANGUL SYLLABLE RYAB
U+B7C6 # 럆 HANGUL SYLLABLE RYABS
U+B7C7 # 럇 HANGUL SYLLABLE RYAS
U+B7C8 # 럈 HANGUL SYLLABLE RYASS
U+B7C9 # 량 HANGUL SYLLABLE RYANG
U+B7CA # 럊 HANGUL SYLLABLE RYAJ
U+B7CB # 럋 HANGUL SYLLABLE RYAC
U+B7CC # 럌 HANGUL SYLLABLE RYAK
U+B7CD # 럍 HANGUL SYLLABLE RYAT
U+B7CE # 럎 HANGUL SYLLABLE RYAP
U+B7CF # 럏 HANGUL SYLLABLE RYAH
U+B7D0 # 럐 HANGUL SYLLABLE RYAE
U+B7D1 # 럑 HANGUL SYLLABLE RYAEG
U+B7D2 # 럒 HANGUL SYLLABLE RYAEGG
U+B7D3 # 럓 HANGUL SYLLABLE RYAEGS
U+B7D4 # 럔 HANGUL SYLLABLE RYAEN
U+B7D5 # 럕 HANGUL SYLLABLE RYAENJ
U+B7D6 # 럖 HANGUL SYLLABLE RYAENH
U+B7D7 # 럗 HANGUL SYLLABLE RYAED
U+B7D8 # 럘 HANGUL SYLLABLE RYAEL
U+B7D9 # 럙 HANGUL SYLLABLE RYAELG
U+B7DA # 럚 HANGUL SYLLABLE RYAELM
U+B7DB # 럛 HANGUL SYLLABLE RYAELB
U+B7DC # 럜 HANGUL SYLLABLE RYAELS
U+B7DD # 럝 HANGUL SYLLABLE RYAELT
U+B7DE # 럞 HANGUL SYLLABLE RYAELP
U+B7DF # 럟 HANGUL SYLLABLE RYAELH
U+B7E0 # 럠 HANGUL SYLLABLE RYAEM
U+B7E1 # 럡 HANGUL SYLLABLE RYAEB
U+B7E2 # 럢 HANGUL SYLLABLE RYAEBS
U+B7E3 # 럣 HANGUL SYLLABLE RYAES
U+B7E4 # 럤 HANGUL SYLLABLE RYAESS
